tau_ell,seed,flat_twin,n_realized,rho_hat,pool_size,rejections,complete,y,median_relerr,mean_m,sd_m,stage,code_version
1.5,21191600.0,True,1744.0,8.549019607843137,17402.0,4.0,True,-0.7262238434652827,0.18783484314944748,74.83333333333333,5.564770136013407,A13-twin,33e371f
1.5,21191800.0,True,1708.0,8.372549019607844,14957.0,14.0,True,-0.7289956006149508,0.18663985972791178,73.16666666666667,7.082843120291926,A13-twin,33e371f
1.5,21192000.0,True,1727.0,8.465686274509803,16245.0,7.0,True,-0.7505938812189575,0.17758493423373606,76.16666666666667,12.937026963976951,A13-twin,33e371f
1.5,21192200.0,True,1757.0,8.612745098039216,17184.0,9.0,True,-0.6518290141324992,0.2229312678114533,68.0,15.836666315863324,A13-twin,33e371f
1.5,21192400.0,True,1674.0,8.205882352941176,14777.0,10.0,True,-0.7390197757131666,0.18238126526412093,75.0,10.545141061171254,A13-twin,33e371f
1.5,21192600.0,True,1793.0,8.78921568627451,17516.0,11.0,True,-0.6678328406312749,0.21486573303423795,76.66666666666667,7.393691004272945,A13-twin,33e371f
1.5,21192800.0,True,1712.0,8.392156862745098,15492.0,14.0,True,-0.8260233825912263,0.14927140390855292,76.66666666666667,7.711463328491335,A13-twin,33e371f
1.5,21193000.0,True,1761.0,8.632352941176471,18721.0,11.0,True,-0.9055138604849645,0.12430429635624227,75.83333333333333,17.702165592567106,A13-twin,33e371f
1.5,21193200.0,True,1695.0,8.308823529411764,15363.0,17.0,True,-0.6530303623453352,0.22231544603020495,71.16666666666667,14.414113454065314,A13-twin,33e371f
1.5,21193400.0,True,1726.0,8.46078431372549,15403.0,5.0,True,-0.5723279927644234,0.26771456970481833,76.66666666666667,14.389811210251047,A13-twin,33e371f
1.5,21193600.0,True,1777.0,8.71078431372549,15841.0,13.0,True,-0.759800670231692,0.17385986167857598,67.83333333333333,5.269408568963566,A13-twin,33e371f
1.5,21193800.0,True,1703.0,8.348039215686274,16746.0,5.0,True,-0.6544659518683504,0.22158178067840803,75.0,17.017637908946117,A13-twin,33e371f
1.5,21194000.0,True,1737.0,8.514705882352942,15538.0,24.0,True,-0.7432052162940708,0.18063203873960143,74.16666666666667,12.671490309614992,A13-twin,33e371f
1.5,21194200.0,True,1753.0,8.593137254901961,16035.0,45.0,True,-0.8573773642036562,0.13887454076008765,73.66666666666667,13.276545735494103,A13-twin,33e371f
