source,condition,seed,status,heldout,null_gap,truth_error,G,score_kind,code_version,epsilon
P6,layered_hard_negative,112.0,ok,0.3575,-0.13374999999999998,0.40524703688906644,0.0,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.06625,0.2325,0.2119700748129676,0.8375,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.035,0.11124999999999999,0.4663021189336979,0.33424470266575534,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.18,0.057499999999999996,0.4171420809562619,0.0,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.21625,-0.09375,0.3004196170993968,0.0,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.11625,0.09999999999999999,0.3588586595885866,0.3375,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.21625,0.04999999999999999,0.38413032054650553,0.0,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.065,0.011249999999999996,0.47370550161812297,0.0,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.14625,0.015000000000000013,0.4307898259705489,0.0,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.11625,0.04375,0.4495776135163675,0.0,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.12625,-0.028749999999999998,0.46395841882095473,0.0,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.11625,0.13749999999999996,0.3655025326579579,0.3375,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.0925,0.125,0.24880889359449443,0.5750000000000001,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.1625,0.036250000000000004,0.4196286472148541,0.0,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.13875,0.07374999999999998,0.42149088025376685,0.11249999999999993,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.185,-0.06874999999999999,0.43295225285810357,0.0,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.18375,-0.04000000000000001,0.38403755868544603,0.0,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.1975,-0.0050000000000000044,0.3232149927411904,0.0,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.0175,0.14,0.36951754385964913,0.5762061403508772,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.1475,0.027499999999999997,0.3563865433587991,0.0,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.19625,0.0050000000000000044,0.3620213185945519,0.0,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.185,0.007500000000000007,0.37292854302001854,0.0,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.12,0.0625,0.37417654808959155,0.12499999999999994,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.06625,0.057499999999999996,0.45162596140871675,0.0749999999999999,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.1625,0.03875000000000001,0.4116856950973808,0.0,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.10875,0.09624999999999999,0.19526003949967083,0.4125000000000001,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.01125,0.07250000000000001,0.47032845707976817,0.22500000000000003,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.145,0.016250000000000014,0.35400724929520744,0.0,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.19125,0.07249999999999998,0.4277243378574252,0.0,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.1575,0.12999999999999998,0.42381205203079375,0.0,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.22625,0.0,0.3282301702520787,0.0,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.04625,0.05500000000000001,0.5092082269122193,0.050000000000000044,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.2075,-0.03999999999999998,0.3350247028975831,0.0,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.1875,-0.008750000000000008,0.3755424063116371,0.0,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.0725,0.13124999999999998,0.423224043715847,0.4419398907103826,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.23875,-0.03375,0.35916722632639353,0.0,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.13625,0.04874999999999999,0.3640194916370341,0.0,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.265,0.05124999999999996,0.45397877984084883,0.0,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.28625,-0.1,0.38486798896624197,0.0,exact,f2a6c1d,
P6,layered_hard_negative,117.0,ok,0.0475,0.12000000000000001,0.4633884186483945,0.3415289533790139,exact,f2a6c1d,
P6,layered_hard_negative,117.0,ok,0.12,0.04125000000000001,0.3785258116019159,0.0,exact,f2a6c1d,
P6,layered_hard_negative,117.0,ok,0.05,0.1825,0.18280137166974414,1.0,exact,f2a6c1d,
P6,layered_hard_negative,117.0,ok,0.1575,-0.0037500000000000033,0.41246372806411497,0.0,exact,f2a6c1d,
P6,layered_hard_negative,117.0,ok,0.1625,0.022499999999999992,0.39161966156325545,0.0,exact,f2a6c1d,
P6,layered_hard_negative,117.0,ok,0.2525,-0.047500000000000014,0.4242063492063492,0.0,exact,f2a6c1d,
P6,layered_hard_negative,117.0,ok,0.16625,0.1275,0.41164738731551653,0.0,exact,f2a6c1d,
P6,layered_hard_negative,117.0,ok,0.10125,0.04249999999999998,0.18460930293846356,0.0,exact,f2a6c1d,
P6,layered_hard_negative,118.0,ok,0.0625,0.23625000000000002,0.4750101037316449,0.3124747406708879,exact,f2a6c1d,
P6,layered_hard_negative,118.0,ok,0.22875,-0.013750000000000012,0.3680192848533548,0.0,exact,f2a6c1d,
P6,layered_hard_negative,118.0,ok,0.1525,-0.023749999999999993,0.32348305752561074,0.0,exact,f2a6c1d,
P6,layered_hard_negative,118.0,ok,0.05,0.20750000000000002,0.4670944838885855,0.33226379027853636,exact,f2a6c1d,
P6,layered_hard_negative,118.0,ok,0.12875,0.007500000000000007,0.3841838097782527,0.0,exact,f2a6c1d,
P6,layered_hard_negative,118.0,ok,0.24625,-0.09,0.38524266736814416,0.0,exact,f2a6c1d,
P6,layered_hard_negative,118.0,ok,0.1475,0.05500000000000002,0.4210804385153877,0.025000000000000133,exact,f2a6c1d,
P6,layered_hard_negative,118.0,ok,0.20375,-0.04374999999999998,0.35349020638885237,0.0,exact,f2a6c1d,
P6,layered_hard_negative,119.0,ok,0.0825,0.023749999999999993,0.47983328851841894,0.0,exact,f2a6c1d,
P6,layered_hard_negative,119.0,ok,0.24125,-0.01999999999999999,0.313903743315508,0.0,exact,f2a6c1d,
P6,layered_hard_negative,119.0,ok,0.24125,-0.0325,0.38366107958294837,0.0,exact,f2a6c1d,
P6,layered_hard_negative,119.0,ok,0.08375,0.105,0.4341337674671008,0.41466558133224807,exact,f2a6c1d,
P6,layered_hard_negative,119.0,ok,0.2475,-0.05249999999999999,0.35689236579444295,0.0,exact,f2a6c1d,
P6,layered_hard_negative,119.0,ok,0.15625,0.026249999999999996,0.4379860287333597,0.0,exact,f2a6c1d,
P6,layered_hard_negative,119.0,ok,0.06375,0.125,0.2678332888057708,0.75,exact,f2a6c1d,
P6,layered_hard_negative,119.0,ok,0.115,0.14375,0.21889431323393588,0.35,exact,f2a6c1d,
P1,dilution_analogue,300,ok,0.021,,0.09367755532139094,0.8754829645240604,two_gate_analogue,f2a6c1d,0.0
P1,dilution_analogue,300,ok,0.014,,0.12012644889357219,0.6991570073761855,two_gate_analogue,f2a6c1d,0.15
P1,dilution_analogue,300,ok,0.036,,0.17776606954689148,0.3148928696873901,two_gate_analogue,f2a6c1d,0.3
P1,dilution_analogue,300,ok,0.012,,0.23009596119371506,0.0,two_gate_analogue,f2a6c1d,0.45
P1,dilution_analogue,300,ok,0.047,,0.33812107671028835,0.0,two_gate_analogue,f2a6c1d,0.6
P1,dilution_analogue,300,ok,0.152,,0.4659235668789809,0.0,two_gate_analogue,f2a6c1d,0.75
P1,dilution_analogue,300,ok,0.2,,0.5117869922121658,0.0,two_gate_analogue,f2a6c1d,0.9
P1,dilution_analogue,300,ok,0.255,,0.49378292939936774,0.0,two_gate_analogue,f2a6c1d,1.0
P1,dilution_analogue,301,ok,0.02,,0.09678100263852243,0.8547933157431837,two_gate_analogue,f2a6c1d,0.0
