beta,start,seed,S,R,n0,n1,n2,mm_dim,height,acc,class
1.0,X,101,0.20810751768771496,2416.2676767676767,342.55555555555554,235.28787878787878,183.2929292929293,2.0343317076591303,15.641414141414142,0.84327,continuum
1.0,X,102,0.322447065795511,2410.74358974359,340.8410256410256,234.3897435897436,184.36923076923077,2.037567042709264,15.953846153846154,0.8397025,continuum
1.0,X,103,0.5787823680512654,2429.126262626263,339.3686868686869,232.1969696969697,184.26262626262627,2.0274382635276975,15.98989898989899,0.84191,continuum
1.0,X,104,0.39471508012890194,2415.020202020202,340.0151515151515,233.23232323232324,186.11111111111111,2.035893815097739,15.848484848484848,0.838805,continuum
2.0,R,100,-1.6963869884500942,2359.2663316582916,363.25125628140705,241.55276381909547,182.93467336683418,2.0661250587235966,14.894472361809045,0.70159,continuum
2.0,R,101,-1.8682711161820662,2342.005025125628,364.57286432160805,241.32663316582915,183.2964824120603,2.0757862861790355,14.829145728643216,0.7024925,continuum
2.0,R,102,-1.7154949439317828,2340.2944162436547,360.18781725888323,243.25888324873097,186.43147208121826,2.076718763303145,14.83756345177665,0.70271,continuum
2.0,R,103,-1.7784103728355785,2358.1111111111113,362.3838383838384,243.7979797979798,184.88888888888889,2.0668026795163312,14.873737373737374,0.70257,continuum
2.0,R,104,-1.6702898529139552,2365.813131313131,362.44444444444446,241.7828282828283,183.43434343434345,2.062477702545814,15.030303030303031,0.7023225,continuum
2.0,X,100,-1.7099579181033893,2357.3010204081634,362.3979591836735,240.91326530612244,185.83163265306123,2.0674181854888194,15.010204081632653,0.4129125,continuum
2.0,X,101,-1.6549090089284013,2339.409090909091,360.1363636363636,242.95959595959596,184.12121212121212,2.077257157066819,14.909090909090908,0.398025,continuum
2.0,X,102,-1.638058464336611,2337.5577889447236,360.78391959798995,240.75879396984925,185.89949748743717,2.078395684205031,14.884422110552764,0.4522625,continuum
2.0,X,103,-6.647585699932306,2403.691919191919,415.9646464646465,269.5808080808081,195.42424242424244,2.0416745434184898,14.434343434343434,0.3409625,continuum
2.0,X,104,-1.7910624256039984,2350.9492385786803,363.9695431472081,239.62944162436548,185.54314720812184,2.0707793588868455,14.741116751269036,0.5314525,continuum
3.0,R,100,-90.5261274729764,2875.9447236180904,1739.3768844221106,335.35175879396985,67.69346733668341,1.7979130606886127,7.0703517587939695,0.04881,other
3.0,R,101,-88.65282232744426,3031.814070351759,1727.8643216080402,301.54773869346735,59.65829145728643,1.7254514488381556,7.608040201005025,0.0445225,other
3.0,R,102,-88.4656951755021,2922.8571428571427,1704.030612244898,332.03061224489795,70.9438775510204,1.7758512565146738,7.3061224489795915,0.04276,other
