stage,seed,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,condition,status,embedding_dim,margin,train_constraint_count,heldout_constraint_count,train_violation,heldout_violation,generalization_gap,restart_order_disagreement,truth_distance_order_error,flip_control_heldout,achieved_density
C,203.0,b77f588,b3a55f3832f52623,8154371ccf757996,70dc1c6a4a6629f3,203.0,40.0,random_order_shuffled,ok,2.0,2.078646257948687,4000.0,1000.0,0.10575,0.112,0.0062500000000000056,0.184082752797129,nan,nan,0.5851542162246691
C,203.0,b77f588,b3a55f3832f52623,8154371ccf757996,70dc1c6a4a6629f3,203.0,40.0,random_order_shuffled,ok,3.0,2.078646257948687,4000.0,1000.0,0.0645,0.107,0.042499999999999996,0.15870804306523117,nan,nan,0.5851542162246691
C,204.0,b77f588,c482f8b321cf4561,6d0ff71fc708d71f,32802ff58c240379,204.0,40.0,column_shuffled,ok,1.0,3.0478921764995492,4000.0,1000.0,0.202,0.216,0.013999999999999985,0.10620660635388177,nan,nan,
C,204.0,b77f588,c482f8b321cf4561,6d0ff71fc708d71f,32802ff58c240379,204.0,40.0,column_shuffled,ok,2.0,3.0478921764995492,4000.0,1000.0,0.093,0.111,0.018000000000000002,0.09387755102040816,nan,nan,
C,204.0,b77f588,c482f8b321cf4561,6d0ff71fc708d71f,32802ff58c240379,204.0,40.0,column_shuffled,ok,3.0,3.0478921764995492,4000.0,1000.0,0.0535,0.092,0.0385,0.1463917525773196,nan,nan,
C,204.0,b77f588,c482f8b321cf4561,6d0ff71fc708d71f,32802ff58c240379,204.0,40.0,column_shuffled_repeat,ok,1.0,2.8874646871668777,4000.0,1000.0,0.23175,0.229,-0.0027500000000000024,0.26783084367767723,nan,nan,
C,204.0,b77f588,c482f8b321cf4561,6d0ff71fc708d71f,32802ff58c240379,204.0,40.0,column_shuffled_repeat,ok,2.0,2.8874646871668777,4000.0,1000.0,0.0945,0.121,0.026499999999999996,0.14782242794024827,nan,nan,
C,204.0,b77f588,c482f8b321cf4561,6d0ff71fc708d71f,32802ff58c240379,204.0,40.0,column_shuffled_repeat,ok,3.0,2.8874646871668777,4000.0,1000.0,0.06775,0.122,0.05424999999999999,0.16217126025668,nan,nan,
C,204.0,b77f588,c482f8b321cf4561,6d0ff71fc708d71f,32802ff58c240379,204.0,40.0,random_order,ok,1.0,1.4177125495575487,4000.0,1000.0,0.218,0.267,0.049000000000000016,0.2956027771933516,nan,nan,0.5738020991436009
C,204.0,b77f588,c482f8b321cf4561,6d0ff71fc708d71f,32802ff58c240379,204.0,40.0,random_order,ok,2.0,1.4177125495575487,4000.0,1000.0,0.12125,0.21,0.08875,0.2343362087102882,nan,nan,0.5738020991436009
C,204.0,b77f588,c482f8b321cf4561,6d0ff71fc708d71f,32802ff58c240379,204.0,40.0,random_order,ok,3.0,1.4177125495575487,4000.0,1000.0,0.05075,0.075,0.024249999999999994,0.16069850620660636,nan,nan,0.5738020991436009
C,204.0,b77f588,c482f8b321cf4561,6d0ff71fc708d71f,32802ff58c240379,204.0,40.0,random_order_shuffled,ok,1.0,2.357801815128137,4000.0,1000.0,0.262,0.255,-0.007000000000000006,0.3625078897538397,nan,nan,0.5738020991436009
C,204.0,b77f588,c482f8b321cf4561,6d0ff71fc708d71f,32802ff58c240379,204.0,40.0,random_order_shuffled,ok,2.0,2.357801815128137,4000.0,1000.0,0.1475,0.216,0.0685,0.25726909320429203,nan,nan,0.5738020991436009
C,204.0,b77f588,c482f8b321cf4561,6d0ff71fc708d71f,32802ff58c240379,204.0,40.0,random_order_shuffled,ok,3.0,2.357801815128137,4000.0,1000.0,0.07975,0.148,0.06824999999999999,0.2393435724805386,nan,nan,0.5738020991436009
C,205.0,b77f588,d6d9db40e77b46e9,5113174f4958e7db,46f159cb0fed63f6,205.0,40.0,column_shuffled,ok,1.0,2.9200512600600312,4000.0,1000.0,0.26,0.253,-0.007000000000000006,0.3814209968186638,nan,nan,
C,205.0,b77f588,d6d9db40e77b46e9,5113174f4958e7db,46f159cb0fed63f6,205.0,40.0,column_shuffled,ok,2.0,2.9200512600600312,4000.0,1000.0,0.091,0.143,0.05199999999999999,0.15635206786850478,nan,nan,
C,205.0,b77f588,d6d9db40e77b46e9,5113174f4958e7db,46f159cb0fed63f6,205.0,40.0,column_shuffled,ok,3.0,2.9200512600600312,4000.0,1000.0,0.04775,0.116,0.06825,0.14880169671261928,nan,nan,
C,205.0,b77f588,d6d9db40e77b46e9,5113174f4958e7db,46f159cb0fed63f6,205.0,40.0,column_shuffled_repeat,ok,1.0,2.799256066186693,4000.0,1000.0,0.25925,0.308,0.048750000000000016,0.311983032873807,nan,nan,
C,205.0,b77f588,d6d9db40e77b46e9,5113174f4958e7db,46f159cb0fed63f6,205.0,40.0,column_shuffled_repeat,ok,2.0,2.799256066186693,4000.0,1000.0,0.1015,0.157,0.055499999999999994,0.22693531283138918,nan,nan,
C,205.0,b77f588,d6d9db40e77b46e9,5113174f4958e7db,46f159cb0fed63f6,205.0,40.0,column_shuffled_repeat,ok,3.0,2.799256066186693,4000.0,1000.0,0.039,0.051,0.011999999999999997,0.19249204665959702,nan,nan,
C,205.0,b77f588,d6d9db40e77b46e9,5113174f4958e7db,46f159cb0fed63f6,205.0,40.0,random_order,ok,1.0,1.2465949473265554,4000.0,1000.0,0.15725,0.156,-0.0012500000000000011,0.13705196182396603,nan,nan,0.5855276834910911
C,205.0,b77f588,d6d9db40e77b46e9,5113174f4958e7db,46f159cb0fed63f6,205.0,40.0,random_order,ok,2.0,1.2465949473265554,4000.0,1000.0,0.08275,0.137,0.05425000000000001,0.18689289501590667,nan,nan,0.5855276834910911
C,205.0,b77f588,d6d9db40e77b46e9,5113174f4958e7db,46f159cb0fed63f6,205.0,40.0,random_order,ok,3.0,1.2465949473265554,4000.0,1000.0,0.061,0.155,0.094,0.17883351007423115,nan,nan,0.5855276834910911
C,205.0,b77f588,d6d9db40e77b46e9,5113174f4958e7db,46f159cb0fed63f6,205.0,40.0,random_order_shuffled,ok,1.0,2.1231137233084367,4000.0,1000.0,0.2275,0.23,0.0025000000000000022,0.3421420996818664,nan,nan,0.5855276834910911
C,205.0,b77f588,d6d9db40e77b46e9,5113174f4958e7db,46f159cb0fed63f6,205.0,40.0,random_order_shuffled,ok,2.0,2.1231137233084367,4000.0,1000.0,0.109,0.128,0.019000000000000003,0.16424178154825025,nan,nan,0.5855276834910911
C,205.0,b77f588,d6d9db40e77b46e9,5113174f4958e7db,46f159cb0fed63f6,205.0,40.0,random_order_shuffled,ok,3.0,2.1231137233084367,4000.0,1000.0,0.05625,0.102,0.04574999999999999,0.18676564156945918,nan,nan,0.5855276834910911
C,206.0,b77f588,9a4c925e82ba8e88,be6156409ec7f7ad,4faad8a8057d4c41,206.0,40.0,column_shuffled,ok,1.0,2.6757839146412694,4000.0,1000.0,0.231,0.317,0.086,0.3278523489932886,nan,nan,
C,206.0,b77f588,9a4c925e82ba8e88,be6156409ec7f7ad,4faad8a8057d4c41,206.0,40.0,column_shuffled,ok,2.0,2.6757839146412694,4000.0,1000.0,0.10925,0.158,0.04875,0.251006711409396,nan,nan,
C,206.0,b77f588,9a4c925e82ba8e88,be6156409ec7f7ad,4faad8a8057d4c41,206.0,40.0,column_shuffled,ok,3.0,2.6757839146412694,4000.0,1000.0,0.06725,0.127,0.05975,0.1962248322147651,nan,nan,
C,206.0,b77f588,9a4c925e82ba8e88,be6156409ec7f7ad,4faad8a8057d4c41,206.0,40.0,column_shuffled_repeat,ok,1.0,2.7138209188705344,4000.0,1000.0,0.248,0.261,0.013000000000000012,0.35264261744966446,nan,nan,
C,206.0,b77f588,9a4c925e82ba8e88,be6156409ec7f7ad,4faad8a8057d4c41,206.0,40.0,column_shuffled_repeat,ok,2.0,2.7138209188705344,4000.0,1000.0,0.10975,0.157,0.04725,0.20956375838926172,nan,nan,
C,206.0,b77f588,9a4c925e82ba8e88,be6156409ec7f7ad,4faad8a8057d4c41,206.0,40.0,column_shuffled_repeat,ok,3.0,2.7138209188705344,4000.0,1000.0,0.05225,0.107,0.05475,0.20427852348993292,nan,nan,
C,206.0,b77f588,9a4c925e82ba8e88,be6156409ec7f7ad,4faad8a8057d4c41,206.0,40.0,random_order,ok,1.0,1.2102582105701472,4000.0,1000.0,0.2645,0.276,0.01150000000000001,0.26266778523489936,nan,nan,0.5787629586702357
C,206.0,b77f588,9a4c925e82ba8e88,be6156409ec7f7ad,4faad8a8057d4c41,206.0,40.0,random_order,ok,2.0,1.2102582105701472,4000.0,1000.0,0.171,0.195,0.023999999999999994,0.2870805369127517,nan,nan,0.5787629586702357
C,206.0,b77f588,9a4c925e82ba8e88,be6156409ec7f7ad,4faad8a8057d4c41,206.0,40.0,random_order,ok,3.0,1.2102582105701472,4000.0,1000.0,0.075,0.166,0.09100000000000001,0.21426174496644296,nan,nan,0.5787629586702357
C,206.0,b77f588,9a4c925e82ba8e88,be6156409ec7f7ad,4faad8a8057d4c41,206.0,40.0,random_order_shuffled,ok,1.0,2.261773112219677,4000.0,1000.0,0.1915,0.197,0.005500000000000005,0.3096057046979866,nan,nan,0.5787629586702357
C,206.0,b77f588,9a4c925e82ba8e88,be6156409ec7f7ad,4faad8a8057d4c41,206.0,40.0,random_order_shuffled,ok,2.0,2.261773112219677,4000.0,1000.0,0.089,0.125,0.036000000000000004,0.17919463087248325,nan,nan,0.5787629586702357
C,206.0,b77f588,9a4c925e82ba8e88,be6156409ec7f7ad,4faad8a8057d4c41,206.0,40.0,random_order_shuffled,ok,3.0,2.261773112219677,4000.0,1000.0,0.05475,0.102,0.04724999999999999,0.17953020134228187,nan,nan,0.5787629586702357
C,207.0,b77f588,cc9a95930960907e,a540adc0a25291f5,9d66cb2c8c925c30,207.0,40.0,column_shuffled,ok,1.0,2.6409548558201115,4000.0,1000.0,0.293,0.308,0.015000000000000013,0.4037193575655114,nan,nan,
C,207.0,b77f588,cc9a95930960907e,a540adc0a25291f5,9d66cb2c8c925c30,207.0,40.0,column_shuffled,ok,2.0,2.6409548558201115,4000.0,1000.0,0.1425,0.252,0.10950000000000001,0.26648351648351654,nan,nan,
C,207.0,b77f588,cc9a95930960907e,a540adc0a25291f5,9d66cb2c8c925c30,207.0,40.0,column_shuffled,ok,3.0,2.6409548558201115,4000.0,1000.0,0.03275,0.096,0.06325,0.1491546914623838,nan,nan,
C,207.0,b77f588,cc9a95930960907e,a540adc0a25291f5,9d66cb2c8c925c30,207.0,40.0,column_shuffled_repeat,ok,1.0,2.695584765971059,4000.0,1000.0,0.198,0.222,0.023999999999999994,0.14357565511411666,nan,nan,
C,207.0,b77f588,cc9a95930960907e,a540adc0a25291f5,9d66cb2c8c925c30,207.0,40.0,column_shuffled_repeat,ok,2.0,2.695584765971059,4000.0,1000.0,0.083,0.139,0.05600000000000001,0.14687235841081994,nan,nan,
C,207.0,b77f588,cc9a95930960907e,a540adc0a25291f5,9d66cb2c8c925c30,207.0,40.0,column_shuffled_repeat,ok,3.0,2.695584765971059,4000.0,1000.0,0.04,0.112,0.07200000000000001,0.14763313609467457,nan,nan,
C,207.0,b77f588,cc9a95930960907e,a540adc0a25291f5,9d66cb2c8c925c30,207.0,40.0,random_order,ok,1.0,1.3449731366428355,4000.0,1000.0,0.20175,0.199,-0.0027500000000000024,0.2724852071005917,nan,nan,0.5808648618815023
C,207.0,b77f588,cc9a95930960907e,a540adc0a25291f5,9d66cb2c8c925c30,207.0,40.0,random_order,ok,2.0,1.3449731366428355,4000.0,1000.0,0.10375,0.102,-0.0017500000000000016,0.16999154691462387,nan,nan,0.5808648618815023
C,207.0,b77f588,cc9a95930960907e,a540adc0a25291f5,9d66cb2c8c925c30,207.0,40.0,random_order,ok,3.0,1.3449731366428355,4000.0,1000.0,0.06225,0.088,0.025749999999999995,0.15422654268808117,nan,nan,0.5808648618815023
C,207.0,b77f588,cc9a95930960907e,a540adc0a25291f5,9d66cb2c8c925c30,207.0,40.0,random_order_shuffled,ok,1.0,2.07497723033181,4000.0,1000.0,0.23925,0.205,-0.03425,0.28905325443786983,nan,nan,0.5808648618815023
C,207.0,b77f588,cc9a95930960907e,a540adc0a25291f5,9d66cb2c8c925c30,207.0,40.0,random_order_shuffled,ok,2.0,2.07497723033181,4000.0,1000.0,0.1295,0.174,0.044499999999999984,0.2780642434488588,nan,nan,0.5808648618815023
C,207.0,b77f588,cc9a95930960907e,a540adc0a25291f5,9d66cb2c8c925c30,207.0,40.0,random_order_shuffled,ok,3.0,2.07497723033181,4000.0,1000.0,0.06275,0.134,0.07125000000000001,0.2099323753169907,nan,nan,0.5808648618815023
C,208.0,b77f588,4099c321deac8444,183af786c515d335,4c190faa1f94a341,208.0,40.0,column_shuffled,ok,1.0,2.6754635685453074,4000.0,1000.0,0.2555,0.334,0.07850000000000001,0.32,nan,nan,
C,208.0,b77f588,4099c321deac8444,183af786c515d335,4c190faa1f94a341,208.0,40.0,column_shuffled,ok,2.0,2.6754635685453074,4000.0,1000.0,0.13,0.197,0.067,0.17731216931216934,nan,nan,
C,208.0,b77f588,4099c321deac8444,183af786c515d335,4c190faa1f94a341,208.0,40.0,column_shuffled,ok,3.0,2.6754635685453074,4000.0,1000.0,0.06575,0.104,0.03824999999999999,0.17553439153439152,nan,nan,
C,208.0,b77f588,4099c321deac8444,183af786c515d335,4c190faa1f94a341,208.0,40.0,column_shuffled_repeat,ok,1.0,2.869076040049973,4000.0,1000.0,0.246,0.302,0.055999999999999994,0.3036190476190476,nan,nan,
C,208.0,b77f588,4099c321deac8444,183af786c515d335,4c190faa1f94a341,208.0,40.0,column_shuffled_repeat,ok,2.0,2.869076040049973,4000.0,1000.0,0.0975,0.19,0.0925,0.22954497354497355,nan,nan,
C,208.0,b77f588,4099c321deac8444,183af786c515d335,4c190faa1f94a341,208.0,40.0,column_shuffled_repeat,ok,3.0,2.869076040049973,4000.0,1000.0,0.0675,0.131,0.0635,0.18518518518518517,nan,nan,
C,208.0,b77f588,4099c321deac8444,183af786c515d335,4c190faa1f94a341,208.0,40.0,random_order,ok,1.0,1.29852503987801,4000.0,1000.0,0.267,0.314,0.046999999999999986,0.36992799661160525,nan,nan,0.579876001508587
C,208.0,b77f588,4099c321deac8444,183af786c515d335,4c190faa1f94a341,208.0,40.0,random_order,ok,2.0,1.29852503987801,4000.0,1000.0,0.138,0.194,0.055999999999999994,0.25201185938161796,nan,nan,0.579876001508587
C,208.0,b77f588,4099c321deac8444,183af786c515d335,4c190faa1f94a341,208.0,40.0,random_order,ok,3.0,1.29852503987801,4000.0,1000.0,0.07425,0.179,0.10475,0.21164760694620927,nan,nan,0.579876001508587
C,208.0,b77f588,4099c321deac8444,183af786c515d335,4c190faa1f94a341,208.0,40.0,random_order_shuffled,ok,1.0,2.4403199408907916,4000.0,1000.0,0.21225,0.237,0.024749999999999994,0.1678526048284625,nan,nan,0.579876001508587
C,208.0,b77f588,4099c321deac8444,183af786c515d335,4c190faa1f94a341,208.0,40.0,random_order_shuffled,ok,2.0,2.4403199408907916,4000.0,1000.0,0.1055,0.098,-0.007499999999999993,0.18644642100804742,nan,nan,0.579876001508587
C,208.0,b77f588,4099c321deac8444,183af786c515d335,4c190faa1f94a341,208.0,40.0,random_order_shuffled,ok,3.0,2.4403199408907916,4000.0,1000.0,0.053,0.098,0.045000000000000005,0.15912748835239307,nan,nan,0.579876001508587
C,209.0,b77f588,9a2820150bae3cd8,304a05ef730a306b,12de2a1ae1f842a6,209.0,40.0,column_shuffled,ok,1.0,2.8047167970050486,4000.0,1000.0,0.2415,0.229,-0.012499999999999983,0.17894515654549273,nan,nan,
C,209.0,b77f588,9a2820150bae3cd8,304a05ef730a306b,12de2a1ae1f842a6,209.0,40.0,column_shuffled,ok,2.0,2.8047167970050486,4000.0,1000.0,0.08675,0.142,0.055249999999999994,0.18512292498424038,nan,nan,
C,209.0,b77f588,9a2820150bae3cd8,304a05ef730a306b,12de2a1ae1f842a6,209.0,40.0,column_shuffled,ok,3.0,2.8047167970050486,4000.0,1000.0,0.062,0.12,0.057999999999999996,0.14881277579323388,nan,nan,
C,209.0,b77f588,9a2820150bae3cd8,304a05ef730a306b,12de2a1ae1f842a6,209.0,40.0,column_shuffled_repeat,ok,1.0,2.8849501930042027,4000.0,1000.0,0.22225,0.248,0.025749999999999995,0.31468795965538976,nan,nan,
C,209.0,b77f588,9a2820150bae3cd8,304a05ef730a306b,12de2a1ae1f842a6,209.0,40.0,column_shuffled_repeat,ok,2.0,2.8849501930042027,4000.0,1000.0,0.08,0.128,0.048,0.18865307837781048,nan,nan,
C,209.0,b77f588,9a2820150bae3cd8,304a05ef730a306b,12de2a1ae1f842a6,209.0,40.0,column_shuffled_repeat,ok,3.0,2.8849501930042027,4000.0,1000.0,0.04525,0.099,0.053750000000000006,0.11947888211809203,nan,nan,
C,209.0,b77f588,9a2820150bae3cd8,304a05ef730a306b,12de2a1ae1f842a6,209.0,40.0,random_order,ok,1.0,1.3891536074177138,4000.0,1000.0,0.2305,0.294,0.06349999999999997,0.3301533935700777,nan,nan,0.5492848009861008
