source,condition,reference_group,seed,R,n0,n1,n2,mm_dim,height,code_version,epsilon,label,status,heldout,truth,instrument_margin,achieved_density
P1,epsilon=1,p1_scene,309.0,628388.0,3756.0,5988.0,7465.0,1.806219749202794,99.0,ba90aa8,1.0,0.0,ok,0.328,0.4765305050929329,-5.5600000000000005,0.578035341409793
P1,epsilon=0,p1_scene,310.0,640967.0,7266.0,6313.0,5994.0,1.7791198275550761,116.0,ba90aa8,0.0,1.0,ok,0.007,0.09027704624460128,0.3981530250359914,0.5896063875780739
P1,epsilon=0.15,p1_scene,310.0,643823.0,6116.0,7067.0,6955.0,1.7730274231033771,115.0,ba90aa8,0.15,1.0,ok,0.013,0.11303065416622775,0.24646230555848164,0.5922335366246286
P1,epsilon=0.3,p1_scene,310.0,653398.0,5096.0,7122.0,7915.0,1.7527608885638433,111.0,ba90aa8,0.3,,ok,0.031,0.18266090803750132,-0.2177393869166755,0.6010412929694328
P1,epsilon=0.45,p1_scene,310.0,627246.0,4129.0,6419.0,7941.0,1.8087019623746134,110.0,ba90aa8,0.45,,ok,0.027,0.23480106100795756,-0.5653404067197171,0.5769848497392168
P1,epsilon=0.6,p1_scene,310.0,653279.0,3650.0,6089.0,8089.0,1.7530112843396815,104.0,ba90aa8,0.6,,ok,0.045,0.333262464122462,-1.2217497608164136,0.6009318284258263
P1,epsilon=0.75,p1_scene,310.0,645301.0,3516.0,5871.0,7795.0,1.7698831853515937,103.0,ba90aa8,0.75,,ok,0.19,0.4141596683320931,-2.8000000000000003,0.5935931046536229
P1,epsilon=0.9,p1_scene,310.0,660533.0,3708.0,5980.0,7672.0,1.7378145117274322,101.0,ba90aa8,0.9,0.0,ok,0.154,0.5269238923044308,-2.5128259486962055,0.6076045662352476
P1,epsilon=1,p1_scene,310.0,645937.0,3784.0,5957.0,7433.0,1.7685319845972138,99.0,ba90aa8,1.0,0.0,ok,0.212,0.5086516142646128,-3.2399999999999993,0.594178142046343
P1,epsilon=0,p1_scene,311.0,636233.0,7316.0,6175.0,5952.0,1.7892672453533685,116.0,ba90aa8,0.0,1.0,ok,0.034,0.10821643286573146,0.2785571142284569,0.5852517224567891
P1,epsilon=0.15,p1_scene,311.0,651296.0,6082.0,6946.0,6981.0,1.7571892851261026,112.0,ba90aa8,0.15,1.0,ok,0.039,0.1301550469359772,0.13229968709348525,0.5991077259890903
P1,epsilon=0.3,p1_scene,311.0,643451.0,4990.0,7031.0,7692.0,1.7738197249039098,107.0,ba90aa8,0.3,,ok,0.021,0.1340663988158173,0.10622400789455126,0.5918913449420942
P1,epsilon=0.45,p1_scene,311.0,622303.0,4117.0,6541.0,7840.0,1.8194888709927541,106.0,ba90aa8,0.45,,ok,0.029,0.14950306618735462,0.0033128920843024843,0.5724379317640349
P1,epsilon=0.6,p1_scene,311.0,617319.0,3483.0,5690.0,7284.0,1.8304368382302094,104.0,ba90aa8,0.6,,ok,0.178,0.27654843832715725,-2.56,0.567853299114165
P1,epsilon=0.75,p1_scene,311.0,648757.0,3535.0,5809.0,7566.0,1.7625537875120214,102.0,ba90aa8,0.75,,invalid: epsilon=0.75: only 29 eligible targets,,,-5.0,0.5967721757687815
P1,epsilon=0.9,p1_scene,311.0,645825.0,3735.0,6046.0,7679.0,1.7687698535031955,102.0,ba90aa8,0.9,0.0,ok,0.322,0.4988720592974541,-5.44,0.594075116593537
P1,epsilon=1,p1_scene,311.0,631846.0,3820.0,6087.0,7465.0,1.798726032257853,102.0,ba90aa8,1.0,0.0,ok,0.228,0.49199699215812653,-3.5599999999999996,0.5812162522651801
P1,epsilon=0,p1_scene,312.0,602928.0,7328.0,6217.0,6204.0,1.862463418632514,111.0,ba90aa8,0.0,1.0,ok,0.053,0.11203450452345887,-0.059999999999999915,0.5546154482987002
P1,epsilon=0.15,p1_scene,312.0,613659.0,6220.0,7053.0,7166.0,1.8385229755681016,107.0,ba90aa8,0.15,1.0,ok,0.042,0.10382916053019146,0.16,0.5644865744956812
P1,epsilon=0.3,p1_scene,312.0,622691.0,5053.0,7015.0,7879.0,1.818639613003588,107.0,ba90aa8,0.3,,ok,0.018,0.14296233957500526,0.04691773616663157,0.5727948413683988
P1,epsilon=0.45,p1_scene,312.0,592441.0,4141.0,6418.0,7869.0,1.8862039380081042,106.0,ba90aa8,0.45,,ok,0.051,0.1757837155480749,-0.17189143698716602,0.5449687704096181
P1,epsilon=0.6,p1_scene,312.0,587049.0,3496.0,5679.0,7449.0,1.898547140497838,103.0,ba90aa8,0.6,,ok,0.114,0.3102278749337573,-1.28,0.5400088307530977
P1,epsilon=0.75,p1_scene,312.0,603514.0,3394.0,5432.0,7229.0,1.8611469931599895,101.0,ba90aa8,0.75,,ok,0.151,0.46086219680118634,-2.0724146453412424,0.5551544921857033
P1,epsilon=0.9,p1_scene,312.0,611877.0,3666.0,5935.0,7728.0,1.8424744228578467,100.0,ba90aa8,0.9,0.0,ok,0.257,0.5113612455291395,-4.14,0.5628473659519276
P1,epsilon=1,p1_scene,312.0,603246.0,3720.0,5894.0,7380.0,1.8617489126040616,99.0,ba90aa8,1.0,0.0,ok,0.32,0.48586796034591856,-5.4,0.5549079669950603
P1,epsilon=0,p1_scene,313.0,620463.0,7208.0,6336.0,6008.0,1.8235222209872037,117.0,ba90aa8,0.0,1.0,ok,0.015,0.09354566547141953,0.37636223019053644,0.5707453707536496
P1,epsilon=0.15,p1_scene,313.0,640859.0,5993.0,7114.0,7143.0,1.779350645740064,115.0,ba90aa8,0.15,1.0,ok,0.019,0.11959502214722632,0.20269985235182447,0.5895070416057253
P1,epsilon=0.3,p1_scene,313.0,637987.0,5002.0,7026.0,7792.0,1.7855003568056302,112.0,ba90aa8,0.3,,ok,0.014,0.1392766497461929,0.07148900169204739,0.5868651746373412
P1,epsilon=0.45,p1_scene,313.0,639072.0,4039.0,6271.0,7843.0,1.7831744385269443,111.0,ba90aa8,0.45,,ok,0.061,0.19289501590668082,-0.2859667727112055,0.5878632337113999
P1,epsilon=0.6,p1_scene,313.0,610857.0,3449.0,5571.0,7426.0,1.8447404777521186,109.0,ba90aa8,0.6,,ok,0.146,0.3381914893617021,-1.9199999999999997,0.5619090984353009
P1,epsilon=0.75,p1_scene,313.0,619232.0,3356.0,5507.0,7319.0,1.8262261202291699,103.0,ba90aa8,0.75,,ok,0.116,0.4418233981510998,-1.945489321007332,0.5696130106428973
P1,epsilon=0.9,p1_scene,313.0,614923.0,3632.0,5899.0,7585.0,1.8357258967062777,102.0,ba90aa8,0.9,0.0,ok,0.281,0.5285304430985017,-4.62,0.5656492903202068
P1,epsilon=1,p1_scene,313.0,637432.0,3759.0,5975.0,7545.0,1.7866913594496339,100.0,ba90aa8,1.0,0.0,ok,0.333,0.476357454043141,-5.66,0.5863546467238826
P1,epsilon=0,p1_scene,314.0,630693.0,7179.0,6338.0,6010.0,1.8012209196856652,114.0,ba90aa8,0.0,1.0,ok,0.028,0.10747368421052632,0.28350877192982454,0.5801556420233464
P1,epsilon=0.15,p1_scene,314.0,646564.0,6012.0,7050.0,7095.0,1.7672009615690705,112.0,ba90aa8,0.15,1.0,ok,0.023,0.11873684210526315,0.20842105263157895,0.5947549006080342
P1,epsilon=0.3,p1_scene,314.0,649026.0,4975.0,6990.0,7566.0,1.7619846286000218,110.0,ba90aa8,0.3,,ok,0.025,0.14842105263157895,0.010526315789473606,0.5970196208295389
P1,epsilon=0.45,p1_scene,314.0,618910.0,4027.0,6180.0,7464.0,1.8269341256956464,107.0,ba90aa8,0.45,,ok,0.026,0.18263157894736842,-0.21754385964912287,0.5693168124660798
P1,epsilon=0.6,p1_scene,314.0,611155.0,3481.0,5583.0,7244.0,1.844078110838816,103.0,ba90aa8,0.6,,ok,0.087,0.2628421052631579,-0.7522807017543859,0.5621832197293742
P1,epsilon=0.75,p1_scene,314.0,641631.0,3495.0,5641.0,7356.0,1.7777014184820406,102.0,ba90aa8,0.75,,ok,0.23,0.42347368421052634,-3.5999999999999996,0.5902171813339956
P1,epsilon=0.9,p1_scene,314.0,643889.0,3654.0,5753.0,7351.0,1.7728868923020489,99.0,ba90aa8,0.9,0.0,ok,0.207,0.43894736842105264,-3.1399999999999992,0.592294248052175
P1,epsilon=1,p1_scene,314.0,625821.0,3740.0,5778.0,7098.0,1.8118044994644267,98.0,ba90aa8,1.0,0.0,ok,0.315,0.5188421052631579,-5.3,0.5756740348262825
P1,epsilon=0,p1_scene,315.0,624400.0,7321.0,6116.0,6013.0,1.814904108059856,114.0,ba90aa8,0.0,1.0,ok,0.015,0.09921177088807147,0.3385881940795235,0.5743668993938056
P1,epsilon=0.15,p1_scene,315.0,641158.0,6084.0,7002.0,6918.0,1.7787116988269709,114.0,ba90aa8,0.15,1.0,ok,0.017,0.10761954808197582,0.28253634612016115,0.5897820827699128
P1,epsilon=0.3,p1_scene,315.0,638511.0,5120.0,7067.0,7713.0,1.7843766538652943,111.0,ba90aa8,0.3,,ok,0.02,0.14062007356805045,0.06253284287966362,0.5873471865772553
