status,n_targets,min_chain_len,heldout,null_gap,truth,R,n0,n1,n2,mm_dim,height,family,layer_count,moves,window,seed,gate_pass,stage,code_version
ok,44.0,25.0,0.065,0.011249999999999996,0.47370550161812297,172277.0,9819.0,3033.0,516.0,1.067917911325408,41.0,layered,25.0,20.0,60.0,113.0,0.0,P6-B,d0d2220
ok,44.0,26.0,0.14625,0.015000000000000013,0.4307898259705489,170482.0,4716.0,3708.0,2098.0,1.0845424752020993,68.0,layered,25.0,100.0,60.0,113.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.11625,0.04375,0.4495776135163675,164525.0,2472.0,1897.0,1514.0,1.1403576773825193,101.0,layered,25.0,500.0,60.0,113.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.12625,-0.028749999999999998,0.46395841882095473,174772.0,7376.0,1072.0,111.0,1.044946430809949,52.0,layered,40.0,20.0,60.0,113.0,0.0,P6-B,d0d2220
ok,44.0,39.0,0.11625,0.13749999999999996,0.3655025326579579,172203.0,4976.0,1944.0,707.0,1.0686016101574278,74.0,layered,40.0,100.0,60.0,113.0,0.0,P6-B,d0d2220
ok,44.0,42.0,0.0925,0.125,0.24880889359449443,165032.0,2551.0,1830.0,1456.0,1.13556631871317,95.0,layered,40.0,500.0,60.0,113.0,1.0,P6-B,d0d2220
ok,44.0,51.0,0.1625,0.036250000000000004,0.4196286472148541,173107.0,4037.0,1069.0,484.0,1.0602589398901499,86.0,layered,60.0,100.0,60.0,113.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.13875,0.07374999999999998,0.42149088025376685,165226.0,2440.0,1776.0,1445.0,1.1337350397872443,105.0,layered,60.0,500.0,60.0,113.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.185,-0.06874999999999999,0.43295225285810357,172278.0,9364.0,3062.0,754.0,1.0679086731131946,39.0,layered,25.0,20.0,60.0,114.0,0.0,P6-B,d0d2220
ok,44.0,26.0,0.18375,-0.04000000000000001,0.38403755868544603,171318.0,3964.0,3816.0,2278.0,1.0767892520681825,70.0,layered,25.0,100.0,60.0,114.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.1975,-0.0050000000000000044,0.3232149927411904,164983.0,2389.0,1936.0,1602.0,1.1360290415174297,97.0,layered,25.0,500.0,60.0,114.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.0175,0.14,0.36951754385964913,174638.0,7308.0,836.0,132.0,1.0461762991508072,50.0,layered,40.0,20.0,60.0,114.0,1.0,P6-B,d0d2220
ok,44.0,40.0,0.1475,0.027499999999999997,0.3563865433587991,172776.0,4600.0,1762.0,838.0,1.0633112113706575,78.0,layered,40.0,100.0,60.0,114.0,0.0,P6-B,d0d2220
ok,44.0,42.0,0.19625,0.0050000000000000044,0.3620213185945519,165463.0,2383.0,1779.0,1475.0,1.1314994251863153,106.0,layered,40.0,500.0,60.0,114.0,0.0,P6-B,d0d2220
ok,44.0,53.0,0.185,0.007500000000000007,0.37292854302001854,173673.0,3887.0,1011.0,445.0,1.0550459866865722,87.0,layered,60.0,100.0,60.0,114.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.12,0.0625,0.37417654808959155,165852.0,2435.0,1673.0,1427.0,1.1278337085276542,106.0,layered,60.0,500.0,60.0,114.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.06625,0.057499999999999996,0.45162596140871675,172022.0,11371.0,1593.0,318.0,1.070274493458892,36.0,layered,25.0,20.0,60.0,115.0,0.0,P6-B,d0d2220
ok,44.0,27.0,0.1625,0.03875000000000001,0.4116856950973808,170720.0,4240.0,3778.0,2221.0,1.0823333224333052,68.0,layered,25.0,100.0,60.0,115.0,0.0,P6-B,d0d2220
ok,44.0,47.0,0.10875,0.09624999999999999,0.19526003949967083,164291.0,2381.0,1882.0,1503.0,1.1425717721812365,98.0,layered,25.0,500.0,60.0,115.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.01125,0.07250000000000001,0.47032845707976817,174636.0,7360.0,968.0,22.0,1.0461946586466575,49.0,layered,40.0,20.0,60.0,115.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.145,0.016250000000000014,0.35400724929520744,172496.0,4718.0,1781.0,888.0,1.0658953530528423,74.0,layered,40.0,100.0,60.0,115.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.19125,0.07249999999999998,0.4277243378574252,164655.0,2466.0,1947.0,1501.0,1.1391283633262619,97.0,layered,40.0,500.0,60.0,115.0,0.0,P6-B,d0d2220
ok,44.0,55.0,0.1575,0.12999999999999998,0.42381205203079375,173318.0,3955.0,1079.0,520.0,1.0583146647255877,86.0,layered,60.0,100.0,60.0,115.0,0.0,P6-B,d0d2220
ok,44.0,42.0,0.22625,0.0,0.3282301702520787,164787.0,2425.0,1786.0,1414.0,1.1378806744650092,106.0,layered,60.0,500.0,60.0,115.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.04625,0.05500000000000001,0.5092082269122193,172351.0,8755.0,4025.0,489.0,1.0672343527584953,45.0,layered,25.0,20.0,60.0,116.0,0.0,P6-B,d0d2220
ok,44.0,26.0,0.2075,-0.03999999999999998,0.3350247028975831,171095.0,3725.0,3463.0,2703.0,1.0788555820481203,77.0,layered,25.0,100.0,60.0,116.0,0.0,P6-B,d0d2220
ok,44.0,43.0,0.1875,-0.008750000000000008,0.3755424063116371,165071.0,2448.0,1864.0,1555.0,1.135198082027077,97.0,layered,25.0,500.0,60.0,116.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.0725,0.13124999999999998,0.423224043715847,174747.0,7477.0,987.0,115.0,1.0451758513149159,51.0,layered,40.0,20.0,60.0,116.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.23875,-0.03375,0.35916722632639353,172595.0,4650.0,2241.0,666.0,1.0649814470878765,77.0,layered,40.0,100.0,60.0,116.0,0.0,P6-B,d0d2220
ok,44.0,42.0,0.13625,0.04874999999999999,0.3640194916370341,165715.0,2433.0,1798.0,1490.0,1.1291241953706308,94.0,layered,40.0,500.0,60.0,116.0,0.0,P6-B,d0d2220
ok,44.0,54.0,0.265,0.05124999999999996,0.45397877984084883,173661.0,3747.0,1175.0,493.0,1.0551564263547766,96.0,layered,60.0,100.0,60.0,116.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.28625,-0.1,0.38486798896624197,166011.0,2333.0,1819.0,1381.0,1.126336701296188,112.0,layered,60.0,500.0,60.0,116.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.0475,0.12000000000000001,0.4633884186483945,172186.0,10006.0,2645.0,328.0,1.0687586959483424,38.0,layered,25.0,20.0,60.0,117.0,0.0,P6-B,d0d2220
