status,stage,p,seed,density,code_version,gate_pass,n_targets,min_chain_len,heldout,null_gap
ok,P3-B,0.02,105.0,0.7264273960418056,2558335,0.0,44.0,38.0,0.21375,-0.013749999999999984
ok,P3-B,0.02,106.0,0.7341338670224594,2558335,0.0,44.0,42.0,0.205,0.015000000000000013
ok,P3-B,0.02,107.0,0.736897487213698,2558335,0.0,44.0,42.0,0.33625,-0.09375
ok,P3-B,0.02,108.0,0.730664887702913,2558335,0.0,44.0,39.0,0.21125,-0.01874999999999999
ok,P3-B,0.02,109.0,0.7456731154102735,2558335,0.0,44.0,41.0,0.16125,0.0
ok,P3-B,0.02,110.0,0.7334213920391373,2558335,0.0,44.0,38.0,0.18875,-0.04375000000000001
ok,P3-B,0.02,111.0,0.7308018679119413,2558335,0.0,44.0,39.0,0.19875,-0.035
ok,P3-B,0.02,112.0,0.7219168334445185,2558335,0.0,44.0,38.0,0.2375,0.04749999999999999
ok,P3-B,0.02,113.0,0.7292016900155659,2558335,0.0,44.0,39.0,0.195,0.028749999999999998
ok,P3-B,0.02,114.0,0.715056259728708,2558335,0.0,44.0,41.0,0.23125,-0.007500000000000007
ok,P3-B,0.02,115.0,0.7415388036468757,2558335,0.0,44.0,43.0,0.19,0.057499999999999996
ok,P3-B,0.02,116.0,0.7280071158550144,2558335,0.0,44.0,41.0,0.2275,0.027499999999999997
ok,P3-B,0.02,117.0,0.7246493217700689,2558335,0.0,44.0,41.0,0.24625,0.05875
ok,P3-B,0.02,118.0,0.724736490993996,2558335,0.0,44.0,39.0,0.24625,0.01125000000000001
ok,P3-B,0.02,119.0,0.7456517678452301,2558335,0.0,44.0,42.0,0.2625,-0.016250000000000014
