tau_ell,seed,flat_twin,n_realized,rho_hat,pool_size,rejections,complete,y,median_relerr,mean_m,sd_m,stage,code_version
1.0,6211800.0,False,1961.0,163.41666666666666,18695.0,14.0,True,-0.6411748789859493,0.22846786380187858,75.5,5.167204273105526,A13,3f46313
1.0,6212000.0,False,1994.0,166.16666666666666,18613.0,23.0,True,-0.6190829967679422,0.2403903353058463,79.16666666666667,11.232393630329497,A13,3f46313
1.5,6252000.0,False,2215.0,76.00490196078431,14547.0,10.0,True,-0.8151319175062605,0.1530622462526136,77.66666666666667,8.310635755865292,A13,3f46313
1.5,6252200.0,False,2270.0,77.8921568627451,17070.0,31.0,True,-0.806619889600691,0.1560918077675465,77.16666666666667,13.556056457047774,A13,3f46313
1.5,6252400.0,False,2169.0,74.42647058823529,13608.0,27.0,True,-0.5913470847573037,0.256243533966934,74.16666666666667,9.04249228181405,A13,3f46313
1.5,6252600.0,False,2233.0,76.62254901960783,15197.0,4.0,True,-0.6843156048957252,0.20686375088083497,83.33333333333333,12.30717947649528,A13,3f46313
1.5,6252800.0,False,2196.0,75.35294117647058,14757.0,27.0,True,-0.7722820121493006,0.16893435883625132,72.0,6.957010852370434,A13,3f46313
1.5,6253000.0,False,2233.0,76.62254901960783,16984.0,11.0,True,-0.5555977681238804,0.27822889560569386,79.16666666666667,7.730890418746515,A13,3f46313
1.5,6253200.0,False,2362.0,81.04901960784314,18242.0,66.0,True,-0.6174021680639128,0.24132250897929347,87.5,8.167006795638168,A13,3f46313
1.5,6253400.0,False,2324.0,79.74509803921568,16140.0,6.0,True,-0.7205794311383968,0.19029201674422377,84.33333333333333,13.30663994653296,A13,3f46313
1.5,6253600.0,False,2266.0,77.75490196078431,16515.0,22.0,True,-0.6930545121420882,0.2027428223099144,81.0,15.594870951694341,A13,3f46313
1.5,6253800.0,False,2277.0,78.13235294117646,18973.0,9.0,True,-0.7497962789216049,0.17791137701238968,77.5,13.765899897936205,A13,3f46313
1.5,6254000.0,False,2304.0,79.05882352941175,13916.0,13.0,True,-0.7864276608407981,0.1635205499835367,72.66666666666667,10.500793620801556,A13,3f46313
1.5,6254200.0,False,2149.0,73.74019607843137,14270.0,11.0,True,-0.6620669926649982,0.21773738727835618,77.33333333333333,9.77070451229934,A13,3f46313
1.5,6254400.0,False,2155.0,73.94607843137254,15413.0,76.0,True,-0.8111921560833821,0.15445708840851713,80.66666666666667,12.516655570345725,A13,3f46313
1.5,6254600.0,False,2321.0,79.6421568627451,16136.0,6.0,True,-0.9596644464646134,0.1097325707048474,93.83333333333333,12.155931336868708,A13,3f46313
1.5,6254800.0,False,2229.0,76.48529411764704,16242.0,9.0,True,-0.6507134616778667,0.2235046372838836,80.33333333333333,8.801515021101007,A13,3f46313
1.5,6255000.0,False,2209.0,75.79901960784314,14805.0,31.0,True,-0.7860561327100716,0.16366049760049928,83.33333333333333,15.331883989473265,A13,3f46313
1.5,6255200.0,False,2265.0,77.72058823529412,16420.0,8.0,True,-0.6547671729792347,0.22142814766790458,80.66666666666667,9.114091653404998,A13,3f46313
1.5,6255400.0,False,2233.0,76.62254901960783,15121.0,13.0,True,-0.7482779997871798,0.17853443776320732,82.5,13.48703080740902,A13,3f46313
1.5,6255600.0,False,2241.0,76.8970588235294,16163.0,6.0,True,-0.7083538116854898,0.19572494888361208,76.66666666666667,21.472462985569834,A13,3f46313
1.5,6255800.0,False,2262.0,77.61764705882352,15463.0,2.0,True,-0.6437345360977301,0.22712527382245823,71.5,10.21273714534943,A13,3f46313
1.5,6256000.0,False,2300.0,78.92156862745097,15164.0,5.0,True,-0.5468059640970333,0.2839187249050346,77.16666666666667,10.323113225508411,A13,3f46313
0.3,6300000.0,True,2719.0,944.0972222222221,63847.0,1.0,True,-0.7962396265432743,0.15986756991064105,74.33333333333333,15.641824275533423,A13-twin,3f46313
0.3,6300200.0,True,2797.0,971.1805555555554,69414.0,10.0,True,-0.6003787580867462,0.25096967132618797,66.5,10.329569206893384,A13-twin,3f46313
0.3,6300400.0,True,2758.0,957.6388888888888,65699.0,6.0,True,-0.8469254301020924,0.1422573026971762,83.16666666666667,10.647378394077421,A13-twin,3f46313
0.3,6300600.0,True,2652.0,920.8333333333333,61018.0,0.0,True,-0.7919897216275668,0.16143967640235207,76.66666666666667,9.953223933312595,A13-twin,3f46313
0.3,6300800.0,True,2732.0,948.611111111111,66222.0,10.0,True,-0.7283063902130511,0.18693628591126046,73.83333333333333,6.493586579592719,A13-twin,3f46313
0.3,6301000.0,True,2740.0,951.3888888888888,65202.0,1.0,True,-0.6959806572161376,0.20138139399274665,76.0,17.204650534085253,A13-twin,3f46313
0.3,6301200.0,True,2697.0,936.4583333333333,64339.0,4.0,True,-0.9087994645606948,0.12336743507557862,68.33333333333333,12.643839079435748,A13-twin,3f46313
0.3,6301400.0,True,2707.0,939.9305555555554,62654.0,10.0,True,-0.5596798806629812,0.27562595992575406,73.5,14.404860290887934,A13-twin,3f46313
0.3,6301600.0,True,2772.0,962.4999999999999,66264.0,5.0,True,-0.6627226019091751,0.21740893974761633,80.5,12.029131306956458,A13-twin,3f46313
0.3,6301800.0,True,2671.0,927.4305555555554,61327.0,2.0,True,-0.7887036130307443,0.1626658500238093,78.16666666666667,11.73740459670138,A13-twin,3f46313
0.3,6302000.0,True,2654.0,921.5277777777777,60522.0,11.0,True,-0.846748760207902,0.1423151843795173,71.5,9.792854537876073,A13-twin,3f46313
0.3,6302200.0,True,2771.0,962.1527777777777,66558.0,5.0,True,-0.9489568923677683,0.11247166066625161,79.16666666666667,10.264826674945207,A13-twin,3f46313
0.3,6302400.0,True,2790.0,968.7499999999999,68334.0,0.0,True,-0.6913302342185756,0.2035493715170133,70.5,8.502940667792526,A13-twin,3f46313
0.3,6302600.0,True,2720.0,944.4444444444443,63309.0,7.0,True,-0.7693164113391995,0.17009188285753482,83.66666666666667,11.021191708098842,A13-twin,3f46313
0.3,6302800.0,True,2749.0,954.5138888888888,66114.0,17.0,True,-0.7786078557183879,0.16649152997690053,77.83333333333333,15.84192749215406,A13-twin,3f46313
0.3,6303000.0,True,2658.0,922.9166666666665,61794.0,5.0,True,-0.8312167702095353,0.1474970144932064,75.5,7.661592523751182,A13-twin,3f46313
0.3,6303200.0,True,2795.0,970.486111111111,66850.0,2.0,True,-0.6997674197930919,0.19963311353742386,74.33333333333333,8.453795991545258,A13-twin,3f46313
0.3,6303400.0,True,2650.0,920.1388888888888,60934.0,0.0,True,-0.8140349440018132,0.15344935101245993,69.33333333333333,11.893976066339913,A13-twin,3f46313
