N,repetition,pair_number,rho,true_tau,interval_count,chain_length_including_endpoints,effective_chain_length_minus_endpoints,asymptotic_chain_length,tau_chain_estimate,tau_chain_error
600.0,1.0,20.0,300.0,0.966384416080147,117.0,21.0,19.0,23.67148714773831,0.7756717518813397,-0.19071266419880728
600.0,1.0,21.0,300.0,0.303580572010309,16.0,10.0,8.0,7.436174972475019,0.32659863237109044,0.02301806036078141
600.0,1.0,22.0,300.0,0.22999778992400055,9.0,7.0,5.0,5.633772272816396,0.2041241452319315,-0.025873644692069042
600.0,1.0,23.0,300.0,0.3790266845586709,20.0,8.0,6.0,9.284219760675795,0.24494897427831783,-0.13407771028035306
600.0,1.0,24.0,300.0,0.6329602365573417,46.0,13.0,11.0,15.504296070368223,0.4490731195102493,-0.18388711704709237
600.0,1.0,25.0,300.0,0.5949545331644075,61.0,11.0,9.0,14.573350264085702,0.3674234614174767,-0.22753107174693077
600.0,1.0,26.0,300.0,1.336844004299235,246.0,30.0,28.0,32.745856762321665,1.1430952132988164,-0.19374879100041853
600.0,1.0,27.0,300.0,1.2085833356224722,207.0,26.0,24.0,29.60412483905925,0.9797958971132713,-0.2287874385092009
600.0,1.0,28.0,300.0,0.5161028897156636,37.0,12.0,10.0,12.641887345792759,0.408248290463863,-0.10785459925180063
600.0,1.0,29.0,300.0,0.9841977822479597,155.0,23.0,21.0,24.10782372486329,0.8573214099741123,-0.1268763722738474
