N,tick_count,repetition,source_protocol,target_protocol,source_beta,target_beta,expected_relative_beta,fitted_beta,fitted_beta_error,fitted_translation_t,fitted_translation_x,transition_rmse,accessible_overlap_count,accessible_overlap_fraction,invariant_pair_count,invariant_interval_rmse,invariant_interval_mae,invariant_interval_bias
600.0,32.0,2.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5054,0.006227906976744246,0.06764498924144918,-0.07693348076820415,0.032080649592698886,119.0,0.19833333333333333,500.0,0.038697427383994114,0.02576452790805802,-0.006256184283915093
600.0,64.0,2.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.2945,-0.005500000000000005,-0.06893468430245808,0.0682032527788112,0.016830616710064156,188.0,0.31333333333333335,500.0,0.024599496666031086,0.015416511008928798,0.001172346086044152
600.0,64.0,2.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2507999999999999,-0.0007999999999999119,0.030956644483895523,-0.032601287383746305,0.013386342843530801,201.0,0.335,500.0,0.017846024728521332,0.011985862657294778,0.0017516321997839259
600.0,64.0,2.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5148999999999999,-0.0032720930232557066,0.06947604216327403,-0.0705027520755159,0.012809407747367357,119.0,0.19833333333333333,500.0,0.01533168569382451,0.01066418978833909,-0.0038320081933299653
600.0,128.0,2.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.29925,-0.0007499999999999729,-0.06878264253151518,0.06850225349921114,0.00789113057076721,188.0,0.31333333333333335,500.0,0.011381450966292912,0.007113057435504852,0.0008276236085588354
600.0,128.0,2.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2507999999999999,-0.0007999999999999119,0.030868705995132518,-0.031770189092233544,0.007245259631195662,201.0,0.335,500.0,0.011210942803822682,0.00663581182539356,0.0016211516472602874
600.0,128.0,2.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5110999999999999,0.000527906976744319,0.07005110352478593,-0.06954187748337746,0.006112688176993586,119.0,0.19833333333333333,500.0,0.006938327608058235,0.004681314775047442,-0.0013612641547520359
600.0,32.0,3.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.3002,0.00020000000000003348,-0.0678934564017707,0.07122507561728274,0.03316321737360083,178.0,0.2966666666666667,500.0,0.05108794603244795,0.032095252935876686,0.001988207242603408
600.0,32.0,3.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.247,0.0030000000000000027,0.031488575105742,-0.03358753465368391,0.033127858266062175,208.0,0.3466666666666667,500.0,0.058824652298941675,0.034297418522515714,-0.0037148672290617246
600.0,32.0,3.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5110999999999999,0.000527906976744319,0.06505256536578796,-0.07904899363965437,0.027261016685871154,112.0,0.18666666666666668,500.0,0.03190475660094552,0.021068318500879184,-0.0021855088740614097
