target_index,t,x,inertial_accessible,rindler_accessible,rindler_wedge_accessible,rindler_finite_coverage_accessible
174.0,0.7848604244138264,0.7802427767579704,1.0,0.0,0.0,0.0
175.0,1.2871680109208583,0.5989673824073681,1.0,0.0,0.0,0.0
176.0,0.33993072090271337,0.4435974803505732,1.0,0.0,1.0,0.0
177.0,-0.0936463131769183,0.08143487126083247,1.0,0.0,0.0,0.0
178.0,-0.9753999142884306,0.1410240405825733,1.0,0.0,0.0,0.0
179.0,-1.2355589061597008,0.3907341775267861,1.0,0.0,0.0,0.0
180.0,-0.19164484669156634,0.38937971943914557,1.0,1.0,1.0,1.0
181.0,-1.070754098857876,0.6407311321473089,1.0,0.0,0.0,0.0
182.0,0.5748190483212414,-1.1518714139634114,1.0,0.0,0.0,0.0
183.0,0.9030307402074795,-1.0929506936401918,1.0,0.0,0.0,0.0
184.0,-0.5890263372143796,0.7899185273152554,1.0,1.0,1.0,1.0
185.0,0.07933229733692704,0.6056816657014931,1.0,1.0,1.0,1.0
186.0,-0.29311542507903576,0.09110828552032652,1.0,0.0,0.0,0.0
187.0,1.2885486362577603,-0.6870380743379585,1.0,0.0,0.0,0.0
188.0,-0.43482497168756806,0.3865398642718752,1.0,0.0,0.0,0.0
189.0,1.296007230599677,0.12363472064600815,1.0,0.0,0.0,0.0
190.0,0.7227453022808499,-0.03801570529833348,1.0,0.0,0.0,0.0
191.0,0.7650859177624185,-0.6440661306516774,1.0,0.0,0.0,0.0
192.0,-0.2965750388239137,0.24102847574187755,1.0,0.0,0.0,0.0
193.0,-0.41299245138629903,0.15938991371312405,1.0,0.0,0.0,0.0
